# Les 2000 verbes français les plus fréquents, plus les
# quatre écrits à la main. Source : Lexique 3.83 (lexique.org),
# moyenne des fréquences par lemme dans les sous-titres de
# films et dans les livres, par million de mots. Ne sont
# gardés que les verbes que Verbiste sait conjuguer.
# verbe	fréquence
aligner	17.25
pincer	17.24
grogner	17.21
dérober	17.19
abuser	17.13
orner	17.13
abriter	17.07
emballer	17.06
vanter	16.98
émerger	16.96
dater	16.96
arroser	16.90
applaudir	16.89
accélérer	16.88
attarder	16.88
immobiliser	16.75
douer	16.73
salir	16.73
égarer	16.66
relier	16.65
cuisiner	16.64
entasser	16.48
glacer	16.47
déplaire	16.42
ricaner	16.32
encombrer	16.32
conquérir	16.27
ruiner	16.24
expédier	16.23
crisper	16.23
tousser	16.23
saurer	16.16
reproduire	16.16
mater	16.10
relire	16.06
entrevoir	15.99
réfugier	15.96
déguiser	15.93
lasser	15.88
irriter	15.81
massacrer	15.77
gronder	15.72
contraindre	15.70
braquer	15.61
aboutir	15.57
enfouir	15.53
revivre	15.52
améliorer	15.50
ramper	15.47
gérer	15.41
rédiger	15.32
maîtriser	15.25
limiter	15.23
hisser	15.22
assommer	15.16
humilier	15.14
brouiller	15.12
racheter	15.12
convoquer	15.11
bander	15.02
démolir	15.02
renifler	14.97
frôler	14.93
sursauter	14.88
modifier	14.88
chérir	14.85
hâter	14.84
désespérer	14.82
négocier	14.82
coudre	14.81
attribuer	14.72
disperser	14.71
pêcher	14.68
ressusciter	14.68
enchaîner	14.67
négliger	14.64
vibrer	14.63
provenir	14.50
accumuler	14.50
multiplier	14.49
choquer	14.48
effleurer	14.46
piéger	14.43
ménager	14.38
revêtir	14.38
cerner	14.38
décorer	14.37
graver	14.36
reparler	14.29
supprimer	14.26
agenouiller	14.25
brancher	14.19
traquer	14.18
cingler	14.16
corriger	14.16
faucher	14.13
retentir	14.10
renforcer	14.09
frémir	14.06
associer	13.93
empoigner	13.93
refléter	13.90
assumer	13.82
afficher	13.80
exclure	13.77
brandir	13.75
évacuer	13.71
piétiner	13.70
vexer	13.66
souligner	13.64
susciter	13.62
draguer	13.61
feindre	13.57
flanquer	13.52
maquiller	13.48
accroupir	13.46
clouer	13.46
compromettre	13.46
engueuler	13.46
griller	13.45
engloutir	13.44
triompher	13.43
accabler	13.42
diviser	13.42
ébranler	13.41
dévisager	13.39
tourmenter	13.39
encadrer	13.39
cirer	13.34
émettre	13.34
hanter	13.29
tolérer	13.25
déterminer	13.23
affoler	13.23
illuminer	13.21
retarder	13.21
contourner	13.13
baptiser	13.12
confesser	13.12
défoncer	13.12
rouiller	13.11
évader	13.09
adapter	13.00
investir	12.98
nuire	12.98
paniquer	12.96
tricher	12.95
anéantir	12.94
rôder	12.91
vouer	12.90
défier	12.89
progresser	12.87
effectuer	12.86
acharner	12.82
tâter	12.75
grossir	12.69
intriguer	12.66
gâter	12.62
rouvrir	12.61
dépouiller	12.54
stopper	12.54
fouetter	12.48
mentionner	12.46
fusiller	12.43
ronfler	12.43
sombrer	12.41
classer	12.40
hériter	12.38
élire	12.37
planer	12.21
dissiper	12.18
contrarier	12.17
peupler	12.12
diminuer	12.11
accourir	12.11
résigner	12.09
élargir	12.09
plaider	12.08
intimider	12.06
renouveler	12.05
ruer	12.04
photographier	12.00
rabattre	11.99
accoucher	11.96
attendrir	11.96
cultiver	11.91
contribuer	11.87
feuilleter	11.85
éblouir	11.80
transférer	11.80
capturer	11.74
agrandir	11.70
détenir	11.67
fier	11.63
passionner	11.62
boiter	11.60
piper	11.59
tester	11.54
tacher	11.51
abaisser	11.48
proclamer	11.46
navrer	11.44
masquer	11.43
analyser	11.41
branler	11.32
gifler	11.32
commenter	11.31
enquêter	11.28
frissonner	11.28
élancer	11.26
bercer	11.25
courber	11.25
rajouter	11.21
grincer	11.19
souiller	11.16
évoluer	11.14
émerveiller	11.10
questionner	11.09
baver	11.07
interpréter	11.07
offenser	11.07
explorer	11.02
décharger	11.00
résumer	11.00
aveugler	10.98
exaspérer	10.98
caler	10.98
manier	10.96
repenser	10.92
inonder	10.92
paralyser	10.91
extraire	10.89
refiler	10.89
définir	10.88
dévoiler	10.88
choper	10.87
faufiler	10.86
éclaircir	10.86
cligner	10.83
accéder	10.78
périr	10.77
inspecter	10.77
louper	10.76
larguer	10.75
indigner	10.73
tasser	10.70
trinquer	10.70
faciliter	10.66
pressentir	10.65
bouillir	10.61
botter	10.57
chialer	10.52
prescrire	10.50
délirer	10.48
redonner	10.46
forger	10.42
épier	10.41
renier	10.37
dicter	10.36
enculer	10.35
déchiffrer	10.35
obséder	10.32
enrouler	10.32
exploiter	10.31
encaisser	10.31
infliger	10.29
embarrasser	10.27
entrouvrir	10.27
diffuser	10.27
liquider	10.25
renaître	10.24
freiner	10.23
polir	10.23
gésir	10.22
fleurir	10.22
couronner	10.21
survenir	10.20
bâiller	10.19
agripper	10.19
déplier	10.18
méditer	10.18
reconstituer	10.17
décourager	10.16
enlacer	10.15
obstiner	10.13
escalader	10.11
naviguer	10.07
merder	10.02
étreindre	10.01
camper	10.00
peiner	10.00
poster	10.00
implorer	10.00
ruisseler	9.96
remporter	9.94
gravir	9.88
convertir	9.84
réconcilier	9.82
insinuer	9.82
démissionner	9.80
incarner	9.79
déchaîner	9.78
bombarder	9.75
enrichir	9.75
capter	9.74
imprégner	9.73
répliquer	9.72
harceler	9.68
rafraîchir	9.68
alerter	9.66
régaler	9.65
compléter	9.64
aboyer	9.62
exclamer	9.62
démontrer	9.61
activer	9.60
flairer	9.60
engouffrer	9.59
subsister	9.59
épanouir	9.59
dessécher	9.57
refroidir	9.57
économiser	9.56
invoquer	9.54
persister	9.54
embaucher	9.53
formuler	9.53
raisonner	9.50
consommer	9.45
redire	9.40
flamber	9.39
égorger	9.35
rayer	9.32
patienter	9.27
masser	9.27
savourer	9.25
transpirer	9.25
maudire	9.22
broder	9.19
manipuler	9.18
récompenser	9.17
baser	9.15
dévaler	9.14
aggraver	9.07
fiancer	9.05
accouder	9.02
récolter	9.01
engendrer	9.00
flipper	8.97
enflammer	8.96
croquer	8.94
scruter	8.92
critiquer	8.91
dorer	8.91
instruire	8.91
qualifier	8.90
brosser	8.89
tapoter	8.86
chantonner	8.85
adosser	8.85
poignarder	8.81
suer	8.81
embrouiller	8.80
empiler	8.79
